gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7
3.13691,-0.561905,-0.0967232,-0.238082,0.0194821,0.0623811,0.00441691
3.09173,-0.592944,-0.188869,-0.236254,0.015142,0.0695829,0.0220465
3.12651,-0.599382,-0.157291,-0.242346,0.0209472,0.0695106,0.0121772
3.06946,-0.547828,-0.113505,-0.236179,0.0205392,0.0623991,0.00670997
2.97648,-0.567659,-0.111276,-0.224954,0.0236113,0.0661939,0.00546976
2.88585,-0.514368,-0.123617,-0.208509,0.0245497,0.057054,0.00627387
3.25694,-0.604244,-0.0921763,-0.261285,0.0139942,0.0700929,0.00660669
3.23618,-0.60935,-0.097642,-0.256697,0.0313681,0.0721794,0.00218674
3.18223,-0.632878,-0.19233,-0.250512,0.0218781,0.0731976,0.0166477
3.062,-0.606053,-0.214021,-0.235509,0.0309309,0.0728369,0.0205722
3.08878,-0.606256,-0.171542,-0.233325,0.0185615,0.0691113,0.0158696
3.04022,-0.585043,-0.214612,-0.23329,0.0389453,0.0685781,0.0137587
3.10792,-0.58378,-0.0867363,-0.234148,0.00472878,0.0647862,0.00964195
2.94272,-0.553234,-0.1497,-0.212451,0.014277,0.0622155,0.0161929
3.15676,-0.581825,-0.111099,-0.250515,0.03544,0.0681655,0.000377456
3.19406,-0.635267,-0.104896,-0.252152,0.0014401,0.0747745,0.0148031
3.15736,-0.570415,-0.0439222,-0.246958,0.00556589,0.065956,0.00471767
3.12588,-0.566443,-0.0677023,-0.229228,0.0181307,0.0601837,0.00128769
3.09632,-0.644173,-0.274267,-0.248768,0.0359718,0.0802983,0.0249114
3.00935,-0.646467,-0.243763,-0.224766,0.0183085,0.0769516,0.0287239
3.0351,-0.56841,-0.184144,-0.226032,0.0223056,0.0644092,0.0168493
2.97999,-0.572822,-0.180709,-0.208585,0.00852428,0.0609986,0.0229032
3.05657,-0.599354,-0.214183,-0.237142,0.0413935,0.0717745,0.0125075
3.26839,-0.693299,-0.229472,-0.262109,0.0254659,0.0837746,0.0247321
3.27786,-0.663586,-0.230787,-0.259059,0.033125,0.0783268,0.0201073
3.12833,-0.61114,-0.185792,-0.236953,0.0235248,0.0693723,0.0159494
3.14285,-0.603346,-0.126858,-0.253872,0.0206773,0.0728827,0.0100413
3.19757,-0.614094,-0.122072,-0.245456,0.0170867,0.0690924,0.00891858
2.91713,-0.580681,-0.230424,-0.21741,0.0224056,0.0693731,0.0243565
3.12819,-0.601094,-0.110702,-0.240484,0.0128062,0.0692924,0.0118726
3.17574,-0.614333,-0.111086,-0.242064,0.0136545,0.0698982,0.0112353
2.8282,-0.481594,-0.0941254,-0.194108,-0.00155441,0.051104,0.0150733
2.78517,-0.500227,-0.0604807,-0.173338,-0.00584994,0.0482932,0.0104999
2.84537,-0.500876,-0.106372,-0.196346,0.00916766,0.0538343,0.0113645
2.85481,-0.515199,-0.115154,-0.195838,0.0163844,0.0553342,0.0106087
2.84374,-0.503178,-0.12509,-0.204729,0.0184384,0.0564223,0.0103982
3.0748,-0.591407,-0.195352,-0.243479,0.0278852,0.0715415,0.016557
3.1178,-0.573097,-0.155038,-0.237406,0.0284888,0.0650014,0.0106505
