gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7
3.01089,-0.600441,-0.254911,-0.22628,0.0276474,0.0723502,0.0288073
3.0845,-0.622398,-0.190133,-0.24566,0.0174605,0.0758337,0.0193795
3.12937,-0.577377,-0.199383,-0.256378,0.0537743,0.0697925,0.00231767
3.1787,-0.593397,-0.143759,-0.250471,0.0347533,0.0695699,0.00617618
3.27085,-0.639165,-0.103048,-0.265062,0.0262723,0.0753804,0.00286636
3.0206,-0.627362,-0.234878,-0.225848,0.0191501,0.0744065,0.0272537
3.01378,-0.546627,-0.147241,-0.230444,0.0167825,0.0631002,0.0131625
3.04714,-0.611914,-0.159015,-0.237153,0.0249332,0.0751173,0.0144319
3.05621,-0.615777,-0.17296,-0.233546,0.0278014,0.0737781,0.0146645
3.14883,-0.593376,-0.188979,-0.252276,0.0362111,0.0713803,0.0130917
3.34966,-0.675996,-0.112094,-0.271385,0.0132075,0.0814832,0.0135892
3.32617,-0.675708,-0.124137,-0.276947,0.0110604,0.0819415,0.0113475
3.10763,-0.589599,-0.149084,-0.227468,0.0239135,0.0648684,0.0129502
3.05902,-0.616165,-0.158958,-0.219722,0.0111846,0.0682067,0.0195724
3.02443,-0.612763,-0.240558,-0.221448,0.0241827,0.0701417,0.0251738
3.47188,-0.724066,-0.19138,-0.295362,0.0325299,0.089079,0.0146275
3.31307,-0.688915,-0.221422,-0.267953,0.0308914,0.0823057,0.019325
3.21871,-0.684634,-0.263925,-0.252773,0.023393,0.0813134,0.0290773
3.20067,-0.622662,-0.23747,-0.259931,0.0380783,0.0752784,0.0169284
3.14632,-0.620972,-0.179129,-0.236186,0.00760267,0.0686056,0.0207264
3.02931,-0.571688,-0.147885,-0.220574,0.0273958,0.0637553,0.0108016
3.33956,-0.696332,-0.163966,-0.27143,0.0145997,0.0833245,0.0180034
3.34842,-0.704663,-0.157847,-0.280713,0.0114117,0.08684,0.0177252
2.72369,-0.463929,-0.154847,-0.175988,0.00098208,0.0471206,0.0209645
3.42781,-0.695502,-0.131118,-0.295831,0.0357964,0.0865569,0.00265343
3.17451,-0.591249,-0.165162,-0.25267,0.0296491,0.0690148,0.00970064
2.92674,-0.53707,-0.155518,-0.219519,0.0296792,0.0629612,0.0108405
3.17552,-0.623612,-0.110078,-0.242401,0.00968238,0.070766,0.0122968
3.13766,-0.591389,-0.105746,-0.243069,0.0190994,0.0681196,0.0068743
2.90191,-0.526469,-0.158017,-0.208472,0.0151967,0.058698,0.017004
2.98243,-0.557853,-0.146201,-0.217733,0.0160601,0.0630419,0.0148959
2.98706,-0.566396,-0.143962,-0.215406,0.0145448,0.0632689,0.0154138
3.04079,-0.587354,-0.118354,-0.225771,0.011517,0.0669646,0.0126424
3.19351,-0.67012,-0.182459,-0.251947,0.0164297,0.0797745,0.0200853
3.1874,-0.651902,-0.214907,-0.239181,0.0175775,0.0731504,0.0242717
3.01603,-0.607661,-0.22475,-0.235642,0.0229473,0.073856,0.0230189
3.08995,-0.601811,-0.141827,-0.239694,0.026366,0.070546,0.00904171
3.15591,-0.588824,-0.149519,-0.251233,0.0269435,0.0698994,0.00979023
3.1304,-0.591149,-0.14914,-0.250423,0.0267753,0.0706448,0.00931026
3.12307,-0.612735,-0.14017,-0.237964,0.0268299,0.0710858,0.0100317
2.9938,-0.558715,-0.17009,-0.213545,0.0165525,0.0621358,0.0207429
2.8929,-0.5697,-0.201276,-0.206484,0.0071222,0.0634069,0.0240219
2.81029,-0.491455,-0.150129,-0.200732,0.0281517,0.0539927,0.00714323
2.77303,-0.464967,-0.0203972,-0.187469,0.00203207,0.0502928,0.00468547
2.91759,-0.554913,-0.176651,-0.208954,0.0251062,0.0626875,0.0155576
3.04692,-0.583039,-0.226797,-0.229795,0.0214628,0.0676179,0.0244328
3.18927,-0.674492,-0.238599,-0.253121,0.0314335,0.0812302,0.0214679
3.10168,-0.584844,-0.217272,-0.239009,0.0326889,0.0673563,0.016811
3.14125,-0.63243,-0.225132,-0.248139,0.0326002,0.0763644,0.0188773
3.10871,-0.617842,-0.211663,-0.242065,0.0333879,0.0740414,0.0173279
3.1067,-0.582556,-0.187911,-0.250207,0.0349539,0.0709006,0.0115426
3.1358,-0.589793,-0.181701,-0.247484,0.0368589,0.0696675,0.00991582
2.99692,-0.636188,-0.218391,-0.221144,0.00136756,0.0745387,0.0323996
3.19804,-0.635625,-0.273114,-0.252904,0.0466502,0.0755052,0.0191432
3.11021,-0.604218,-0.167612,-0.237769,0.0175872,0.0705777,0.0178669
3.08551,-0.622686,-0.184758,-0.234948,0.019206,0.0728193,0.0199748
3.07925,-0.611483,-0.187002,-0.241094,0.0177796,0.0742457,0.0207999
2.87833,-0.522518,-0.169736,-0.19984,0.0150588,0.0558017,0.0169249
3.14291,-0.641649,-0.232958,-0.250373,0.0297603,0.0770324,0.0207913
3.24364,-0.67125,-0.26306,-0.267608,0.0345813,0.0825574,0.0238945
2.69806,-0.456866,-0.0588137,-0.170284,0.00660503,0.0456224,0.00623419
3.08169,-0.592493,-0.221593,-0.233361,0.0282505,0.0681628,0.0209247
2.74283,-0.495789,-0.115165,-0.176304,0.00495032,0.0509131,0.0148884
2.67691,-0.446935,-0.0626892,-0.169501,0.00751037,0.0453055,0.00729968
2.82691,-0.452363,-0.0913551,-0.195049,0.0171657,0.046913,0.00606243
3.0501,-0.517839,-0.00813422,-0.221574,0.00188561,0.0542419,-0.00115581
3.05511,-0.636109,-0.316817,-0.233968,0.0435708,0.0756449,0.0272872
3.07258,-0.624239,-0.318223,-0.24221,0.0420298,0.0761101,0.0285618
3.2168,-0.643803,-0.245572,-0.265014,0.0347,0.0807801,0.022206
3.32869,-0.683674,-0.269413,-0.280046,0.0351789,0.0858782,0.0246972
3.27578,-0.704241,-0.298983,-0.267731,0.0422617,0.0867099,0.02538
3.06209,-0.609286,-0.180299,-0.232436,0.0205257,0.0710773,0.0184974
3.09957,-0.667219,-0.221715,-0.242003,0.0218701,0.0810254,0.0234052
3.16935,-0.590338,-0.115283,-0.243373,0.0266797,0.0670441,0.00595041
3.01727,-0.584239,-0.174242,-0.230368,0.0308587,0.0699257,0.0127327
2.82809,-0.475577,-0.0786477,-0.198693,0.00285408,0.0513775,0.0115402
2.83087,-0.468683,-0.0928054,-0.203877,0.0160467,0.0527421,0.00676743
3.24531,-0.656958,-0.116146,-0.256646,0.00639126,0.0771387,0.0154691
2.96344,-0.582158,-0.23605,-0.232124,0.0349355,0.073425,0.0212434
3.17075,-0.670639,-0.18735,-0.244266,0.00958435,0.0772519,0.0218112
3.16592,-0.630363,-0.201358,-0.252774,0.0251693,0.0764055,0.0208516
3.32225,-0.684783,-0.159093,-0.281655,0.0304628,0.0861321,0.0103429
2.81799,-0.564374,-0.188896,-0.194713,0.0138036,0.0647483,0.0236208
2.89112,-0.547219,-0.225093,-0.19557,0.0133171,0.0582453,0.0282868
2.74849,-0.435215,-0.04298,-0.187313,0.0144183,0.0468157,0.0017498
3.14293,-0.666703,-0.313274,-0.24917,0.0407069,0.0822017,0.0295344
3.34392,-0.720867,-0.199183,-0.276212,0.0204889,0.0884275,0.0215462
3.17092,-0.589381,-0.172457,-0.261863,0.0380503,0.0725332,0.00888487
2.7448,-0.516604,-0.162086,-0.178239,0.00767865,0.0550909,0.0214065
2.96896,-0.52439,0.0140882,-0.20854,-0.00492201,0.0539668,-0.00136085
3.11466,-0.581675,-0.15272,-0.239098,0.0122415,0.0664007,0.0159213
2.81324,-0.537088,-0.222235,-0.19297,0.0199051,0.0591453,0.0243024
2.95106,-0.555421,-0.201741,-0.212511,0.0146103,0.0624662,0.02321
2.74528,-0.50356,-0.205198,-0.180133,0.015057,0.0535513,0.0242054
2.95031,-0.548783,-0.178515,-0.206152,0.0181704,0.0587253,0.0188103
2.92232,-0.557499,-0.224992,-0.212945,0.021026,0.0631738,0.0235682
3.13947,-0.594015,-0.12187,-0.247305,0.0208156,0.0699577,0.00980064
2.93851,-0.577871,-0.25089,-0.214504,0.0326156,0.0675222,0.0219729
3.29442,-0.681093,-0.170639,-0.264768,0.0130648,0.0803672,0.0201503
2.56785,-0.347141,-0.0433372,-0.163435,0.0128722,0.0332641,0.000535133
2.60963,-0.426314,-0.0537655,-0.151588,-0.00346651,0.0385721,0.0089685
2.64845,-0.463232,-0.0457152,-0.156173,-0.0104116,0.0443642,0.0117189
2.71735,-0.443792,-0.0450676,-0.170626,-0.0032231,0.0433076,0.0100556
3.38508,-0.722244,-0.210246,-0.277404,0.0120072,0.087227,0.025908
3.20718,-0.609096,-0.213268,-0.260678,0.0403768,0.0739811,0.0141083
3.33013,-0.654578,-0.108317,-0.275457,0.0253054,0.0788131,0.00492253
3.39005,-0.655224,-0.150823,-0.28244,0.0305357,0.0781424,0.00693359
3.05949,-0.598865,-0.234628,-0.222984,0.0142882,0.0658817,0.0275829
3.09584,-0.631615,-0.183603,-0.242806,0.018576,0.0759079,0.0193643
3.14856,-0.599563,-0.175461,-0.250469,0.0326902,0.071062,0.0111966
3.20655,-0.649581,-0.213411,-0.250702,0.0203851,0.0760465,0.0218272
2.97019,-0.56877,-0.130878,-0.213651,0.00131758,0.063677,0.0191364
2.9941,-0.567525,-0.153536,-0.21387,0.00896175,0.0605891,0.014631
3.05478,-0.567781,-0.152368,-0.228969,0.0254345,0.064406,0.0130522
3.05224,-0.578134,-0.15737,-0.225978,0.0245827,0.0642455,0.00991694
2.94888,-0.553988,-0.18589,-0.221324,0.0410089,0.0641924,0.00753864
2.99714,-0.546474,-0.176829,-0.228856,0.0270628,0.0641181,0.0148253
3.05037,-0.603997,-0.172555,-0.230118,0.0203504,0.0691491,0.0153615
3.00095,-0.539113,-0.103377,-0.22878,0.0232219,0.0631509,0.00703808
2.79842,-0.484309,-0.136388,-0.183092,0.0182414,0.0492526,0.0123956
3.0534,-0.583974,-0.108893,-0.224604,0.0113108,0.065372,0.0121165
3.02494,-0.584273,-0.153006,-0.227879,0.013645,0.069271,0.0197313
2.98623,-0.562987,-0.173694,-0.215758,0.0186262,0.0637261,0.0193076
2.85413,-0.554826,-0.232446,-0.197942,0.0138625,0.063489,0.030489
2.83069,-0.538361,-0.202587,-0.189828,0.0120174,0.0574538,0.0250313
2.7337,-0.463314,-0.266107,-0.185234,0.0540592,0.0502719,0.0161499
2.71469,-0.514102,-0.255393,-0.18671,0.0335201,0.059008,0.0238075
3.34826,-0.657387,-0.0580876,-0.26082,-0.00370726,0.072886,0.0101744
3.10947,-0.609097,-0.194355,-0.245088,0.0351268,0.0732226,0.0139054
2.94291,-0.515898,-0.140219,-0.209611,0.0242557,0.0555008,0.0100659
2.83702,-0.488915,-0.0867678,-0.186338,0.00674259,0.0487201,0.0093204
2.96868,-0.535002,-0.123564,-0.205744,0.0106729,0.0553864,0.0151226
3.08498,-0.580119,-0.111332,-0.24206,0.0249401,0.068817,0.00773813
3.0696,-0.558655,-0.138837,-0.227137,0.0217343,0.0629289,0.0120557
3.00689,-0.53576,-0.1935,-0.227229,0.0395204,0.0625925,0.0135947
2.96357,-0.523586,-0.17694,-0.217305,0.0369833,0.05906,0.0109599
2.94953,-0.526666,-0.217451,-0.221197,0.0475799,0.0617143,0.0126171
3.23531,-0.693818,-0.209043,-0.247217,-0.000314319,0.078881,0.0295637
3.2924,-0.676877,-0.219475,-0.268936,0.030174,0.0827287,0.0212494
3.21394,-0.631871,-0.154398,-0.256788,0.031674,0.0756153,0.0102067
2.91748,-0.523756,-0.0977891,-0.207956,0.0132779,0.0576834,0.00996102
2.87468,-0.553582,-0.119512,-0.202587,0.00643177,0.0611664,0.0143617
2.8535,-0.552928,-0.122627,-0.203229,0.00602979,0.0629733,0.0145568
2.8622,-0.539656,-0.108572,-0.201411,0.00597167,0.0611974,0.0161509
2.88501,-0.510038,-0.132448,-0.210475,0.0227436,0.0583337,0.0105299
2.86716,-0.52174,-0.1,-0.192801,0.00525733,0.0537551,0.0116141
3.05959,-0.589164,-0.15321,-0.228973,0.0143611,0.0669747,0.0158278
2.72206,-0.437284,-0.129412,-0.176919,0.0182065,0.0438296,0.010602
2.5514,-0.405804,-0.100916,-0.152701,0.00900586,0.0401973,0.0123887
3.00864,-0.549231,-0.0852797,-0.228561,0.0204604,0.0631172,0.00310932
3.16138,-0.690889,-0.307091,-0.246387,0.0255048,0.0838706,0.0352586
2.92978,-0.545072,-0.161524,-0.219927,0.0221785,0.0641713,0.0149173
2.99796,-0.561018,-0.0697028,-0.209284,-0.00236013,0.0589879,0.0105539
2.90656,-0.512655,-0.105846,-0.210579,0.0276182,0.0577283,0.00424585
2.92664,-0.521189,-0.150329,-0.217786,0.0275803,0.0599693,0.010986
3.00745,-0.542564,-0.0899144,-0.222448,0.0173103,0.0609516,0.0058487
3.13655,-0.586812,-0.103708,-0.252957,0.0246533,0.070699,0.00254938
3.16638,-0.59313,-0.134982,-0.247286,0.0206212,0.0665208,0.00797911
3.19189,-0.619907,-0.106623,-0.258047,0.0138713,0.0740937,0.00958414
3.13814,-0.608127,-0.121464,-0.239683,0.0185224,0.0679964,0.00875643
3.10705,-0.599751,-0.16804,-0.247269,0.023929,0.0736876,0.0149999
2.87226,-0.493916,-0.0918448,-0.199768,0.0126308,0.0520323,0.00761291
3.13694,-0.650152,-0.246443,-0.236639,0.0314714,0.0746025,0.02207
3.15398,-0.630167,-0.226284,-0.252485,0.0211604,0.0770663,0.0248752
3.08813,-0.634096,-0.209181,-0.237577,0.0233806,0.0751467,0.0209189
3.09336,-0.604403,-0.188271,-0.239163,0.0181954,0.0713328,0.0205645
3.05504,-0.599921,-0.161389,-0.227985,0.0147896,0.0680826,0.0171649
3.28563,-0.679518,-0.205011,-0.276654,0.0289908,0.0853411,0.0172353
3.27658,-0.726077,-0.245616,-0.270764,0.0207288,0.0911594,0.0267396
2.88325,-0.527333,-0.143046,-0.204176,0.0239582,0.0577582,0.0109473
2.96301,-0.60911,-0.192406,-0.214596,0.00859374,0.0693168,0.0247234
3.0712,-0.567334,-0.133347,-0.240243,0.0251115,0.0669934,0.00927372
2.79522,-0.52054,-0.215488,-0.195314,0.0194625,0.0589051,0.0237291
3.16275,-0.625715,-0.160282,-0.248458,0.0243218,0.0742596,0.0132271
3.1331,-0.609085,-0.177664,-0.247729,0.0242704,0.072632,0.0153477
3.02352,-0.554882,-0.201607,-0.240772,0.0421129,0.0682779,0.0117137
2.99405,-0.597112,-0.174765,-0.215294,0.00197377,0.0662654,0.0241875
2.95018,-0.608844,-0.186285,-0.210891,0.00900785,0.0696443,0.0248692
3.33644,-0.706398,-0.27673,-0.282171,0.0393661,0.0885228,0.0224522
3.35859,-0.704713,-0.278916,-0.278174,0.0507991,0.0863398,0.0196678
3.27043,-0.69755,-0.291833,-0.262632,0.0425335,0.0849673,0.0252987
2.8385,-0.504747,-0.0808923,-0.188375,0.00643014,0.0525477,0.00992643
2.86413,-0.510116,-0.08033,-0.199805,0.00340258,0.0554636,0.00918234
2.78831,-0.483673,-0.111272,-0.187024,0.0190778,0.0498613,0.0075151
2.7719,-0.461235,-0.133327,-0.18531,0.0203928,0.0482351,0.010295
3.13554,-0.589666,-0.130534,-0.240794,0.00896189,0.0673831,0.0148215
3.13511,-0.594974,-0.176624,-0.249885,0.0440079,0.0709827,0.00656702
3.19629,-0.657362,-0.18452,-0.256041,0.0307449,0.0790796,0.0136397
2.67661,-0.428477,-0.158838,-0.176334,0.0306173,0.044721,0.010061
2.89662,-0.546584,-0.13067,-0.198752,0.0113334,0.059246,0.0157461
2.92335,-0.531967,-0.138103,-0.211111,0.0174755,0.0601923,0.0150759
2.74247,-0.493209,-0.12533,-0.187959,0.0139039,0.053683,0.0111125
2.81837,-0.507162,-0.21391,-0.194492,0.0228191,0.0552754,0.0202579
2.73738,-0.536139,-0.212001,-0.179019,0.0176489,0.0595736,0.0255415
2.77336,-0.51595,-0.240016,-0.183451,0.0152148,0.0546861,0.0279693
2.80212,-0.549341,-0.226482,-0.192325,0.0188231,0.0616545,0.0256787
2.72905,-0.445095,-0.180353,-0.192331,0.0509393,0.0509022,0.00625366
2.80097,-0.443073,-0.140869,-0.20019,0.0318804,0.0488337,0.00721184
3.2507,-0.653847,-0.137456,-0.264166,0.0225203,0.0792583,0.0113095
3.17224,-0.640233,-0.19181,-0.259836,0.0334002,0.0797953,0.0142818
3.10641,-0.604662,-0.190552,-0.244136,0.0312944,0.0722212,0.0144972
3.06534,-0.62484,-0.249243,-0.234037,0.0262896,0.074037,0.0255455
3.13284,-0.642965,-0.225252,-0.25066,0.0262281,0.0785584,0.0220196
3.23182,-0.642312,-0.240611,-0.259252,0.0399492,0.0766911,0.0170887
3.08025,-0.578067,-0.0544851,-0.230149,0.000823204,0.0653126,0.00837692
3.01614,-0.592647,-0.129648,-0.226521,0.0115298,0.0695424,0.0148782
3.0259,-0.553701,-0.128724,-0.217846,0.013745,0.05964,0.0124647
3.00128,-0.569285,-0.179824,-0.220842,0.0164943,0.0632596,0.017628
3.08034,-0.622212,-0.137045,-0.228971,0.0075706,0.0698155,0.0157185
3.14859,-0.603517,-0.129694,-0.241616,0.00420895,0.0688012,0.016408
3.33271,-0.680386,-0.0999717,-0.274546,0.017628,0.0822221,0.00762934
3.31337,-0.653928,-0.129312,-0.271462,0.0172645,0.0789096,0.0118599
3.24991,-0.673037,-0.120739,-0.259516,0.0162427,0.0803266,0.010638
3.39992,-0.659374,-0.141803,-0.271734,0.0166282,0.07457,0.0132741
3.28553,-0.677403,-0.130563,-0.266986,0.0208903,0.0829227,0.0120137
2.88702,-0.601293,-0.290645,-0.196711,0.0264426,0.0651382,0.0291646
2.8739,-0.558531,-0.295013,-0.213685,0.0386161,0.0670299,0.0278625
2.988,-0.619891,-0.212123,-0.210551,0.0116071,0.068202,0.0244464
3.1164,-0.594931,-0.224947,-0.249484,0.0362993,0.0712879,0.0156735
2.98656,-0.55715,-0.0661744,-0.20832,-0.000782899,0.0583976,0.00846298
2.82621,-0.490187,-0.146565,-0.200194,0.0213863,0.0541785,0.0122836
2.72975,-0.479595,-0.101968,-0.188244,0.024698,0.053854,0.00467712
2.71857,-0.482094,-0.104882,-0.187353,0.0239296,0.0538965,0.0047401
3.1284,-0.602009,-0.0864688,-0.228042,0.00662857,0.0658458,0.011525
3.0552,-0.559715,-0.151216,-0.230237,0.024265,0.0620126,0.00996563
2.96578,-0.545948,-0.136614,-0.214621,0.0240367,0.0599179,0.0106827
2.98505,-0.545303,-0.100781,-0.23057,0.0216463,0.0643253,0.00393719
3.02209,-0.550963,-0.1363,-0.221821,0.0134181,0.0597807,0.0130051
2.95945,-0.537358,-0.123925,-0.213088,0.0194584,0.0606308,0.0114701
2.81472,-0.444932,-0.0445241,-0.192585,0.0230916,0.0456123,-0.00299054
2.7129,-0.453425,-0.0463043,-0.173272,-0.00854683,0.0445695,0.00975922
2.96731,-0.507934,-0.0912715,-0.211881,0.0069208,0.0542131,0.010343
2.78899,-0.486586,-0.0913111,-0.187054,0.0077599,0.051601,0.0102284
2.95465,-0.509847,-0.0732895,-0.219932,0.019461,0.0570461,0.00185025
3.12036,-0.681711,-0.282984,-0.247463,0.0203799,0.0838937,0.0331444
2.9878,-0.53075,-0.140707,-0.231416,0.0387089,0.0630222,0.00379222
2.92235,-0.508912,-0.143141,-0.21791,0.0366299,0.0589014,0.00579166
2.74871,-0.48635,-0.0737672,-0.173733,-0.00826359,0.0485402,0.0142023
2.94701,-0.524715,-0.156399,-0.223305,0.0341275,0.0609171,0.00832129
3.04673,-0.605243,-0.176543,-0.226221,0.0238355,0.0690957,0.014873
2.69059,-0.468306,-0.0978212,-0.166148,-0.00245762,0.0464321,0.0146675
2.80055,-0.469922,-0.0448728,-0.190626,0.00236528,0.0497264,0.00732596
2.76542,-0.480282,-0.095505,-0.192797,0.0220805,0.0536926,0.00485237
2.88715,-0.496225,-0.180225,-0.211091,0.0338429,0.0557586,0.0121816
3.20648,-0.658295,-0.187748,-0.254548,0.0262585,0.0786006,0.0176845
3.15639,-0.681149,-0.271967,-0.241525,0.0239463,0.0810938,0.0306908
3.24812,-0.681143,-0.304728,-0.266586,0.0389057,0.0834985,0.0267396
3.23251,-0.684655,-0.28832,-0.259469,0.0396173,0.0842374,0.0280115
3.33669,-0.706471,-0.219457,-0.276432,0.0188887,0.0866911,0.0236338
3.5574,-0.761558,-0.200444,-0.307487,0.0355439,0.0942906,0.0144697
3.4054,-0.746362,-0.234516,-0.285889,0.0331196,0.0922418,0.0204487
3.28466,-0.670131,-0.266703,-0.273193,0.0395352,0.0831423,0.0226838
3.05288,-0.614591,-0.122515,-0.220082,0.00688308,0.0687143,0.0172287
2.87926,-0.530516,-0.237434,-0.210026,0.0301462,0.0615103,0.0226722
3.09257,-0.558863,-0.0468421,-0.232474,-0.000403492,0.0612312,0.00493835
3.17214,-0.614411,-0.192246,-0.262305,0.0315714,0.0767647,0.0146753
2.66343,-0.446158,-0.0623032,-0.159223,-0.0108313,0.0423141,0.0140398
3.0805,-0.581863,-0.192451,-0.233756,0.0408478,0.0663934,0.00846307
2.89671,-0.541916,-0.227972,-0.223339,0.034289,0.0655147,0.0170429
3.27444,-0.676826,-0.151937,-0.258412,0.0143622,0.0783094,0.0139249
2.88085,-0.489256,-0.0735682,-0.203658,0.0187079,0.0520513,0.00112563
2.84983,-0.545484,-0.18771,-0.196564,0.0108812,0.0589239,0.0211134
2.82103,-0.529926,-0.174946,-0.18143,0.0160387,0.0543176,0.0197476
2.78277,-0.510067,-0.127568,-0.170377,-0.0061046,0.048753,0.0196044
2.71713,-0.497929,-0.119981,-0.168515,-0.00789665,0.0502739,0.0213968
2.74986,-0.499743,-0.11682,-0.173643,-0.0132743,0.0500935,0.0225315
2.73478,-0.505989,-0.0941942,-0.173751,-0.0159251,0.0524417,0.0214915
2.9801,-0.503331,-0.0663682,-0.215525,0.019297,0.0534381,0.000866514
2.96041,-0.528175,-0.119904,-0.219755,0.0159938,0.0600477,0.0112915
2.9836,-0.553762,-0.143792,-0.216339,0.0196105,0.060679,0.0110077
2.84007,-0.530377,-0.181104,-0.198829,0.0150813,0.0590468,0.0205548
2.83482,-0.511958,-0.147605,-0.191851,0.0158666,0.0535765,0.0140188
2.90869,-0.519786,-0.105498,-0.202093,0.00730611,0.0551117,0.0121123
3.00658,-0.544752,-0.143163,-0.222482,0.0218809,0.0610985,0.0115813
2.95986,-0.534134,-0.160281,-0.215354,0.0262658,0.0587911,0.0111562
2.95939,-0.533537,-0.168828,-0.212407,0.0277415,0.0580232,0.0125613
2.88155,-0.483177,-0.122612,-0.19879,0.0280198,0.0502301,0.00580279
2.92323,-0.556628,-0.151271,-0.209418,0.0127975,0.06201,0.0168874
3.05211,-0.60321,-0.184329,-0.221564,0.0147343,0.0660111,0.0195181
2.99728,-0.587712,-0.18572,-0.225032,0.0141031,0.0683889,0.0215807
3.06125,-0.607018,-0.172491,-0.235883,0.0161359,0.0720055,0.0189094
2.923,-0.521655,-0.113799,-0.213337,0.0224251,0.0576421,0.00569579
2.92884,-0.483572,-0.132828,-0.212415,0.0337143,0.0525302,0.00390295
2.61754,-0.430963,-0.0756768,-0.155437,-0.00856144,0.0404449,0.0132831
2.68699,-0.460739,-0.0791623,-0.162904,-0.00150035,0.043658,0.0104121
2.96053,-0.497385,-0.0641589,-0.219271,0.0242827,0.0557727,-0.00124204
3.14932,-0.652591,-0.201708,-0.24498,0.00618999,0.07825,0.0274545
3.19979,-0.669028,-0.227031,-0.263392,0.018428,0.0837136,0.0269112
3.41632,-0.737803,-0.244223,-0.275703,0.027603,0.0875446,0.0235786
2.95303,-0.578747,-0.253918,-0.211737,0.0296517,0.0638725,0.022643
3.07626,-0.627947,-0.215873,-0.238649,0.0179302,0.0757558,0.0250563
2.60926,-0.403117,-0.106673,-0.156707,0.00630577,0.0371403,0.0125764
2.70214,-0.474575,-0.193223,-0.181529,0.0288116,0.0528665,0.0172365
3.21558,-0.632472,-0.133803,-0.257778,0.0162944,0.0763315,0.0147224
2.75702,-0.480168,-0.121559,-0.184036,0.019566,0.0502597,0.00874763
2.93224,-0.55333,-0.193025,-0.21022,0.0154927,0.0625896,0.0229287
2.8684,-0.532836,-0.228165,-0.20181,0.0217699,0.0596441,0.0255271
2.83923,-0.456298,-0.0069325,-0.188426,0.00434308,0.0440578,-0.00016324
2.94918,-0.52716,-0.11341,-0.213804,0.00585821,0.0580385,0.0138189
2.8389,-0.525144,-0.123241,-0.198177,0.00790514,0.0584237,0.0162886
2.89886,-0.514825,-0.140404,-0.198539,0.014994,0.0526344,0.0124069
2.79738,-0.48756,-0.160492,-0.198635,0.0286688,0.0554877,0.011697
2.90934,-0.523583,-0.149263,-0.201888,0.0172413,0.0545783,0.0127095
3.12783,-0.630541,-0.0997927,-0.230077,-0.00480634,0.0703205,0.0177981
3.15356,-0.60835,-0.221552,-0.251789,0.0466652,0.0731012,0.0124694
3.06308,-0.581283,-0.197626,-0.235716,0.0284867,0.0682662,0.0161954
2.73143,-0.48354,-0.152418,-0.166844,0.0108384,0.0461732,0.016921
2.85914,-0.540561,-0.180045,-0.209433,0.0122352,0.0632741,0.0214223
3.2621,-0.642647,-0.190193,-0.26417,0.037957,0.0768232,0.0108021
2.63368,-0.415243,-0.0204621,-0.158023,-0.00815105,0.0381613,0.00657323
2.58491,-0.382343,-0.0516532,-0.159413,0.0202182,0.0367055,-0.00155218
2.9898,-0.559165,-0.151123,-0.222818,0.0125551,0.0641458,0.0174169
3.11717,-0.596997,-0.0745941,-0.234053,0.000693232,0.0675977,0.0116436
3.27916,-0.663301,-0.129003,-0.263208,0.0139087,0.0776603,0.011723
3.11316,-0.628762,-0.192694,-0.243554,0.0170347,0.0750615,0.0206505
3.1987,-0.65961,-0.255619,-0.254672,0.0273749,0.0783785,0.0255677
3.17119,-0.655912,-0.290157,-0.258463,0.0479328,0.0813749,0.0224649
3.27942,-0.704892,-0.226411,-0.252839,0.00910237,0.0818297,0.0298513
3.24282,-0.640266,-0.230439,-0.266487,0.0416767,0.078304,0.0156377
2.93403,-0.622425,-0.25276,-0.210834,0.0114325,0.0724826,0.0321974
3.1156,-0.615649,-0.315291,-0.248154,0.0403007,0.0753296,0.0282506
3.1669,-0.568413,-0.0635562,-0.235508,0.00409546,0.0606677,0.00742115
2.71391,-0.459233,-0.127924,-0.167157,0.00233897,0.0427712,0.0151548
3.18299,-0.590813,-0.146938,-0.242398,0.0303493,0.0659674,0.00876959
3.17866,-0.635968,-0.227215,-0.254701,0.0254252,0.0771998,0.0228339
3.05249,-0.616687,-0.20409,-0.230584,0.0244035,0.0727422,0.0203237
3.25473,-0.650046,-0.105445,-0.255695,0.0150508,0.0760945,0.00974142
3.13944,-0.620694,-0.133408,-0.243634,0.00333987,0.0713996,0.0167475
3.24998,-0.648072,-0.0804057,-0.254425,0.00358046,0.0741217,0.00979969
3.32513,-0.670971,-0.198121,-0.278879,0.0377828,0.0833626,0.0137396
2.98448,-0.562084,-0.144625,-0.22015,0.0132904,0.0645131,0.0164675
2.96809,-0.534942,-0.0892744,-0.217203,0.00588189,0.0588978,0.00918462
2.97012,-0.557602,-0.100903,-0.218305,0.0127537,0.0636011,0.0104643
2.82402,-0.474033,-0.115338,-0.195145,0.0227067,0.0501949,0.00737178
2.82723,-0.507564,-0.129908,-0.20343,0.0248987,0.0578001,0.00920702
2.67562,-0.460969,-0.140432,-0.174166,0.019056,0.0477772,0.0104582
2.65407,-0.478102,-0.122793,-0.17169,0.00634112,0.0505184,0.013978
2.83724,-0.49606,-0.112628,-0.191292,-0.00110785,0.0511585,0.0171025
2.84516,-0.504802,-0.0635544,-0.196858,0.00513989,0.0547066,0.00738547
3.05076,-0.562867,-0.152582,-0.232197,0.0263213,0.0658183,0.0117467
