beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7
-0.196213,1.13774,-1.13509,0.795939,0.867472,-0.442015,-0.559026
-0.196213,1.13774,-1.13509,0.795937,0.86747,-0.442017,-0.559025
-0.196221,1.13779,-1.1351,0.795959,0.86748,-0.442168,-0.558949
-0.196281,1.13787,-1.13505,0.795882,0.867498,-0.441963,-0.558915
-0.19625,1.13772,-1.1351,0.795907,0.867512,-0.442106,-0.559001
-0.196294,1.13768,-1.1351,0.795942,0.867538,-0.442068,-0.559028
-0.19639,1.13767,-1.13514,0.795925,0.867452,-0.442241,-0.558977
-0.196381,1.13765,-1.13515,0.795954,0.867475,-0.442257,-0.559024
-0.196376,1.13765,-1.13518,0.79598,0.867374,-0.442253,-0.559064
-0.19634,1.1376,-1.13501,0.795988,0.867189,-0.442246,-0.559028
-0.196334,1.13759,-1.13499,0.796011,0.867139,-0.442282,-0.559065
-0.196308,1.1376,-1.13496,0.795985,0.867163,-0.442241,-0.558983
-0.196309,1.13759,-1.13496,0.795984,0.867163,-0.442242,-0.558981
-0.196347,1.13754,-1.13493,0.795936,0.867165,-0.44226,-0.558981
-0.19634,1.13754,-1.13493,0.795935,0.867173,-0.442261,-0.55898
-0.196587,1.13763,-1.13474,0.79595,0.8672,-0.442364,-0.559129
-0.196651,1.13766,-1.13477,0.795922,0.867171,-0.442359,-0.559074
-0.196613,1.13757,-1.13483,0.795978,0.867195,-0.442379,-0.558999
-0.196644,1.13755,-1.1348,0.795937,0.867291,-0.442332,-0.559037
-0.196649,1.13754,-1.1348,0.795939,0.867291,-0.44234,-0.559032
-0.196673,1.13754,-1.13482,0.79601,0.867336,-0.442344,-0.559029
-0.196606,1.13751,-1.1348,0.796158,0.867279,-0.442272,-0.55916
-0.196586,1.13753,-1.13477,0.796163,0.867286,-0.442232,-0.559141
-0.196598,1.13753,-1.13476,0.796175,0.867293,-0.442222,-0.559142
-0.19659,1.13752,-1.13478,0.79619,0.8673,-0.442216,-0.559145
-0.196598,1.13751,-1.13476,0.796201,0.867318,-0.442207,-0.559152
-0.196556,1.13751,-1.13472,0.796225,0.867294,-0.442182,-0.559127
-0.196562,1.13751,-1.13473,0.796221,0.8673,-0.442179,-0.559132
-0.196555,1.1375,-1.13476,0.796215,0.867315,-0.442192,-0.559125
-0.196515,1.13756,-1.13475,0.796251,0.86737,-0.442178,-0.5591
-0.196523,1.13755,-1.13476,0.796265,0.867345,-0.442265,-0.559214
-0.196523,1.13755,-1.13475,0.796267,0.867344,-0.442263,-0.559217
-0.196496,1.13754,-1.13482,0.796289,0.867303,-0.442378,-0.559253
-0.196444,1.13749,-1.13477,0.796324,0.867311,-0.442319,-0.559247
-0.19642,1.13747,-1.13477,0.796316,0.867301,-0.442325,-0.559222
-0.196441,1.13748,-1.13478,0.796296,0.8673,-0.44243,-0.559254
-0.196526,1.13742,-1.13491,0.796176,0.867192,-0.442542,-0.559216
-0.19669,1.13752,-1.1349,0.796169,0.866982,-0.442689,-0.559201
-0.1967,1.13752,-1.1349,0.796161,0.86698,-0.442693,-0.559196
-0.196605,1.13758,-1.13502,0.796061,0.866828,-0.442849,-0.559244
-0.196631,1.13759,-1.13512,0.796037,0.866854,-0.442787,-0.559314
-0.196584,1.13755,-1.13511,0.79603,0.866858,-0.442805,-0.559305
-0.196619,1.13758,-1.13518,0.796017,0.86678,-0.442829,-0.559296
-0.196564,1.13756,-1.13514,0.796033,0.866905,-0.442762,-0.559339
-0.196529,1.13754,-1.13508,0.796141,0.866941,-0.442745,-0.559361
-0.196507,1.13753,-1.13507,0.796169,0.866911,-0.442748,-0.559343
-0.196517,1.13753,-1.13507,0.796168,0.866906,-0.44274,-0.559347
-0.196501,1.13752,-1.13507,0.79617,0.866912,-0.442748,-0.559343
-0.196503,1.13754,-1.13505,0.796177,0.866909,-0.44276,-0.559355
-0.196523,1.13755,-1.13504,0.796142,0.866922,-0.442756,-0.559395
-0.196547,1.13755,-1.13506,0.796108,0.866921,-0.442759,-0.559395
-0.196544,1.13755,-1.13506,0.796105,0.866921,-0.442761,-0.559396
-0.196545,1.13756,-1.13506,0.796104,0.866924,-0.442756,-0.559397
-0.196543,1.13756,-1.13506,0.796104,0.866928,-0.442755,-0.559396
-0.196569,1.13757,-1.13505,0.796098,0.866919,-0.442765,-0.559387
-0.196566,1.13757,-1.13504,0.796045,0.866956,-0.442744,-0.559399
-0.196527,1.13756,-1.13505,0.796037,0.866983,-0.442747,-0.559398
-0.196488,1.13761,-1.13495,0.795903,0.866994,-0.442805,-0.559341
-0.19645,1.13774,-1.13485,0.795931,0.86706,-0.442759,-0.559462
-0.19642,1.13777,-1.13488,0.795974,0.867043,-0.442765,-0.559453
-0.196414,1.13775,-1.13483,0.795992,0.867033,-0.442773,-0.559431
-0.196388,1.13776,-1.13481,0.796021,0.866982,-0.442825,-0.559476
-0.196379,1.13782,-1.13473,0.795976,0.86701,-0.442822,-0.559451
-0.196485,1.13802,-1.1348,0.795874,0.867022,-0.442712,-0.559436
-0.196491,1.13802,-1.1348,0.795874,0.867031,-0.442711,-0.559442
-0.196415,1.13808,-1.13484,0.795993,0.867005,-0.442745,-0.559374
-0.196403,1.13807,-1.13484,0.795981,0.866987,-0.442719,-0.559368
-0.196404,1.13806,-1.13484,0.79598,0.866986,-0.442718,-0.55937
-0.196402,1.13809,-1.13483,0.795993,0.866982,-0.4427,-0.559348
-0.196401,1.13808,-1.13482,0.796,0.866981,-0.442704,-0.559348
-0.196421,1.13807,-1.13482,0.796,0.866983,-0.442708,-0.55937
-0.196425,1.13807,-1.13482,0.796002,0.866985,-0.442702,-0.559375
-0.196438,1.13807,-1.13483,0.796011,0.866986,-0.442705,-0.559371
-0.196441,1.13808,-1.13483,0.796013,0.866989,-0.442718,-0.559371
-0.196442,1.13807,-1.13483,0.796013,0.86699,-0.442718,-0.559369
-0.196437,1.13807,-1.13483,0.796017,0.86699,-0.442718,-0.559374
-0.196435,1.13807,-1.13483,0.796016,0.866994,-0.442718,-0.559373
-0.196487,1.13813,-1.13473,0.795879,0.867072,-0.442619,-0.559366
-0.196478,1.13813,-1.13473,0.795879,0.867079,-0.442618,-0.559367
-0.196487,1.13814,-1.13473,0.795883,0.86708,-0.442613,-0.559384
-0.196551,1.13812,-1.13471,0.795866,0.867184,-0.442548,-0.559386
-0.196556,1.13813,-1.13471,0.795876,0.867197,-0.442569,-0.559406
-0.196553,1.13816,-1.13468,0.795906,0.867174,-0.442587,-0.559401
-0.196549,1.13816,-1.13469,0.795912,0.867209,-0.442598,-0.559402
-0.196609,1.13827,-1.13472,0.795965,0.867195,-0.442614,-0.559408
-0.196603,1.13831,-1.13475,0.795898,0.867147,-0.442637,-0.559375
-0.196647,1.13842,-1.13484,0.795732,0.867096,-0.442768,-0.559418
-0.19661,1.13828,-1.13468,0.795672,0.867179,-0.442734,-0.559533
-0.196643,1.13834,-1.13465,0.795751,0.86718,-0.442672,-0.55951
-0.196663,1.13832,-1.13468,0.795769,0.867176,-0.442671,-0.559504
-0.196667,1.13833,-1.13469,0.795765,0.867172,-0.442664,-0.5595
-0.196666,1.13833,-1.13469,0.795763,0.867169,-0.442662,-0.55951
-0.196667,1.13832,-1.13469,0.795763,0.86717,-0.442659,-0.559505
-0.196687,1.13832,-1.1347,0.795761,0.867176,-0.442661,-0.559512
-0.196696,1.13834,-1.13466,0.795793,0.867177,-0.442679,-0.559536
-0.196686,1.13834,-1.13465,0.795792,0.867173,-0.442682,-0.559541
-0.196685,1.13834,-1.13465,0.795792,0.867175,-0.442682,-0.559541
-0.196678,1.13834,-1.13465,0.795796,0.867176,-0.442683,-0.559542
-0.196676,1.13834,-1.13466,0.795797,0.867179,-0.442685,-0.559541
-0.196671,1.13835,-1.13465,0.7958,0.867185,-0.442685,-0.559535
-0.196429,1.13832,-1.13446,0.795689,0.867167,-0.442675,-0.559521
-0.196427,1.13832,-1.13446,0.79569,0.867164,-0.442678,-0.559523
-0.196353,1.1383,-1.13448,0.795715,0.867185,-0.44273,-0.55954
-0.19637,1.1384,-1.13432,0.795643,0.867183,-0.442683,-0.559612
-0.196365,1.1384,-1.13432,0.795636,0.867168,-0.442666,-0.559587
-0.196365,1.1384,-1.13432,0.795635,0.867168,-0.442666,-0.559587
-0.196367,1.1384,-1.13431,0.795628,0.86717,-0.442659,-0.55959
-0.196366,1.1384,-1.13432,0.795625,0.867169,-0.442657,-0.559589
-0.196363,1.13841,-1.13431,0.795622,0.867171,-0.442659,-0.559592
-0.196357,1.13841,-1.13431,0.795635,0.867178,-0.442662,-0.559589
-0.196357,1.13841,-1.13431,0.795635,0.867178,-0.442662,-0.559589
-0.196357,1.13841,-1.13431,0.795631,0.86718,-0.442658,-0.559592
-0.196354,1.13841,-1.13432,0.795634,0.867177,-0.442661,-0.559597
-0.196354,1.13841,-1.13432,0.795635,0.867178,-0.442663,-0.559597
-0.196354,1.13841,-1.13432,0.795627,0.867182,-0.442661,-0.559609
-0.196355,1.13841,-1.13431,0.795627,0.867183,-0.442662,-0.559608
-0.196357,1.13841,-1.13432,0.795627,0.86718,-0.442661,-0.559611
-0.196359,1.13842,-1.13432,0.795626,0.867181,-0.44266,-0.559609
-0.196361,1.13841,-1.13432,0.795625,0.867184,-0.442661,-0.55961
-0.196364,1.13841,-1.13432,0.795619,0.86719,-0.442659,-0.559607
-0.196357,1.13841,-1.13431,0.795626,0.867184,-0.442657,-0.559602
-0.19636,1.13841,-1.13431,0.795626,0.867184,-0.442657,-0.559602
-0.196365,1.13841,-1.13431,0.795624,0.867183,-0.442667,-0.559605
-0.196366,1.13841,-1.13431,0.795623,0.867182,-0.442667,-0.559604
-0.196366,1.13841,-1.13431,0.795624,0.867182,-0.442668,-0.559604
-0.19636,1.13842,-1.13432,0.795623,0.867192,-0.442666,-0.559612
-0.196356,1.13842,-1.13432,0.795628,0.867194,-0.442668,-0.559613
-0.196354,1.13842,-1.13432,0.79562,0.867196,-0.442673,-0.55961
-0.196355,1.13842,-1.13432,0.795625,0.867192,-0.442676,-0.55961
-0.196354,1.13842,-1.13432,0.795626,0.867192,-0.442671,-0.559615
-0.196354,1.13842,-1.13432,0.795625,0.867191,-0.442672,-0.559615
-0.196355,1.13842,-1.13432,0.795625,0.867191,-0.442672,-0.559615
-0.196354,1.13842,-1.13432,0.795624,0.867191,-0.442672,-0.559617
-0.196354,1.13842,-1.13432,0.795624,0.867191,-0.442672,-0.559617
-0.196359,1.13842,-1.13433,0.795631,0.867188,-0.442677,-0.55962
-0.196361,1.13842,-1.13433,0.795627,0.867193,-0.442676,-0.559616
-0.196358,1.13842,-1.13433,0.795626,0.867194,-0.442678,-0.559616
-0.196357,1.13842,-1.13433,0.795626,0.867194,-0.442677,-0.559617
-0.196357,1.13843,-1.13433,0.795627,0.867192,-0.442681,-0.559616
-0.196353,1.13843,-1.13433,0.795634,0.867196,-0.442676,-0.55962
-0.19636,1.13843,-1.13433,0.795637,0.867196,-0.442675,-0.559615
-0.196352,1.13844,-1.13433,0.795638,0.867196,-0.442678,-0.559617
-0.196351,1.13844,-1.13433,0.795637,0.867194,-0.442676,-0.559617
-0.196349,1.13844,-1.13433,0.795635,0.867196,-0.442675,-0.559616
-0.196343,1.13844,-1.13433,0.795638,0.867192,-0.442672,-0.559612
-0.196338,1.13844,-1.13433,0.795642,0.867186,-0.442677,-0.559612
-0.19634,1.13844,-1.13433,0.795641,0.867187,-0.442677,-0.559612
-0.196344,1.13844,-1.13433,0.795647,0.867185,-0.442669,-0.559612
-0.196346,1.13844,-1.13434,0.795652,0.867183,-0.442674,-0.559613
-0.19635,1.13844,-1.13434,0.795646,0.867179,-0.442675,-0.559616
-0.196349,1.13844,-1.13434,0.795645,0.867179,-0.442675,-0.559616
-0.196349,1.13844,-1.13434,0.795645,0.867179,-0.442675,-0.559616
-0.19635,1.13844,-1.13434,0.795645,0.86718,-0.442675,-0.559616
-0.19635,1.13844,-1.13434,0.795645,0.86718,-0.442674,-0.559615
-0.19635,1.13844,-1.13434,0.795643,0.86718,-0.442674,-0.559615
-0.19635,1.13844,-1.13434,0.795643,0.867181,-0.442675,-0.559615
-0.19635,1.13844,-1.13434,0.795644,0.867179,-0.442676,-0.559614
-0.196351,1.13844,-1.13434,0.795642,0.867177,-0.442676,-0.559615
-0.196352,1.13844,-1.13434,0.79564,0.867173,-0.442677,-0.559616
-0.196359,1.13843,-1.13434,0.795652,0.86717,-0.442676,-0.559616
-0.196359,1.13843,-1.13434,0.795653,0.867168,-0.442675,-0.559618
-0.196357,1.13844,-1.13433,0.795656,0.867174,-0.442675,-0.559628
-0.196365,1.13844,-1.13434,0.795654,0.867178,-0.44267,-0.559626
-0.196365,1.13844,-1.13434,0.795654,0.867178,-0.44267,-0.559626
-0.196368,1.13844,-1.13433,0.795655,0.867176,-0.442672,-0.559625
-0.196367,1.13844,-1.13433,0.795655,0.867175,-0.442671,-0.559623
-0.196366,1.13843,-1.13433,0.795653,0.867175,-0.442676,-0.559628
-0.196366,1.13844,-1.13433,0.795653,0.867176,-0.442676,-0.559629
-0.196366,1.13843,-1.13433,0.795653,0.867176,-0.442676,-0.559628
-0.196365,1.13843,-1.13433,0.795655,0.867174,-0.442676,-0.559629
-0.196356,1.13843,-1.13433,0.795646,0.867177,-0.442675,-0.559634
-0.196368,1.13846,-1.13435,0.795665,0.867186,-0.442666,-0.559652
-0.196371,1.13847,-1.13435,0.795675,0.867185,-0.442661,-0.55965
-0.196366,1.13846,-1.13436,0.795698,0.867188,-0.442611,-0.55963
-0.196433,1.13841,-1.13433,0.795658,0.867087,-0.442605,-0.559652
-0.196453,1.1384,-1.13434,0.795631,0.867071,-0.44259,-0.559654
-0.196288,1.13851,-1.1343,0.795724,0.866981,-0.442834,-0.559681
-0.196285,1.13852,-1.13428,0.79574,0.866988,-0.442843,-0.55968
-0.196302,1.13852,-1.13434,0.795768,0.866991,-0.442812,-0.559623
-0.19631,1.13853,-1.13434,0.795784,0.866961,-0.442792,-0.559617
-0.1963,1.13853,-1.13434,0.79578,0.866965,-0.442799,-0.559633
-0.196313,1.13852,-1.13434,0.795779,0.866956,-0.442794,-0.559621
-0.196315,1.13853,-1.13434,0.79578,0.866951,-0.442801,-0.55961
-0.196312,1.13854,-1.13434,0.795785,0.866951,-0.442806,-0.5596
-0.196311,1.13853,-1.13435,0.795776,0.866957,-0.442807,-0.559595
-0.1963,1.13853,-1.13433,0.795782,0.866972,-0.442801,-0.559592
-0.196301,1.13851,-1.13432,0.795785,0.866977,-0.442799,-0.5596
-0.196306,1.13851,-1.13432,0.795792,0.866974,-0.442799,-0.559606
-0.19628,1.13851,-1.13425,0.79595,0.866997,-0.442822,-0.559612
-0.196348,1.13849,-1.13426,0.796014,0.86711,-0.442773,-0.559626
-0.196359,1.13849,-1.13425,0.795987,0.867112,-0.442769,-0.559642
-0.196364,1.13848,-1.13424,0.795972,0.86711,-0.442767,-0.559635
-0.196365,1.1385,-1.13423,0.795965,0.867108,-0.442769,-0.55963
-0.196392,1.1385,-1.13424,0.795949,0.867124,-0.442767,-0.559621
-0.196381,1.13849,-1.13422,0.795936,0.867126,-0.442754,-0.559606
-0.196378,1.13849,-1.13422,0.795933,0.867123,-0.442752,-0.5596
-0.196378,1.13849,-1.13422,0.795933,0.867123,-0.442752,-0.5596
-0.196377,1.13849,-1.13422,0.795933,0.867123,-0.44275,-0.559599
-0.196378,1.13849,-1.13423,0.795933,0.867125,-0.442749,-0.559599
-0.196404,1.13848,-1.13424,0.795924,0.867157,-0.442729,-0.559619
-0.19639,1.13849,-1.13423,0.795948,0.867155,-0.442737,-0.5596
-0.196384,1.13849,-1.13423,0.795947,0.867154,-0.442738,-0.559601
-0.196391,1.13849,-1.13423,0.795946,0.867153,-0.442735,-0.559604
-0.196393,1.13848,-1.13424,0.795954,0.867151,-0.442737,-0.559614
-0.196389,1.13847,-1.13424,0.795943,0.867151,-0.442751,-0.559607
-0.196389,1.13848,-1.13424,0.795941,0.867149,-0.442754,-0.559606
-0.196389,1.13848,-1.13424,0.795942,0.867149,-0.442755,-0.559605
-0.196389,1.13848,-1.13424,0.795941,0.867149,-0.442755,-0.559604
-0.196389,1.13848,-1.13424,0.795942,0.867151,-0.442754,-0.559607
-0.196388,1.13848,-1.13423,0.795938,0.867151,-0.442755,-0.559607
-0.196388,1.13848,-1.13423,0.795939,0.867148,-0.442754,-0.559607
-0.19639,1.13848,-1.13423,0.795936,0.867149,-0.442755,-0.559607
-0.19639,1.13848,-1.13423,0.795935,0.86715,-0.442756,-0.559608
-0.196398,1.13848,-1.13423,0.795931,0.867149,-0.442759,-0.559604
-0.196427,1.13848,-1.13423,0.795921,0.86713,-0.442731,-0.559605
-0.196418,1.13847,-1.13424,0.795991,0.867113,-0.44277,-0.559606
-0.19641,1.13847,-1.13424,0.796003,0.867111,-0.442776,-0.559611
-0.196412,1.13847,-1.13424,0.796007,0.867115,-0.442777,-0.559613
-0.196428,1.13847,-1.13426,0.796002,0.867102,-0.442748,-0.559591
-0.196436,1.13847,-1.13429,0.79596,0.86713,-0.442688,-0.559551
-0.196447,1.13847,-1.13429,0.795956,0.867127,-0.442691,-0.559543
-0.196442,1.13847,-1.13429,0.795961,0.867129,-0.442695,-0.559536
-0.196439,1.13847,-1.1343,0.795968,0.86713,-0.442692,-0.559538
-0.196421,1.13848,-1.13431,0.795997,0.86715,-0.442714,-0.559559
-0.196414,1.13848,-1.13429,0.795974,0.867105,-0.44271,-0.559548
-0.196413,1.13848,-1.13429,0.795976,0.867098,-0.442707,-0.559553
-0.196404,1.13848,-1.13429,0.795952,0.867078,-0.442724,-0.559563
-0.196384,1.13843,-1.13431,0.795934,0.867091,-0.442673,-0.559552
-0.196361,1.13843,-1.13433,0.795949,0.867109,-0.442677,-0.559559
-0.19639,1.13844,-1.13438,0.79595,0.867143,-0.442708,-0.559582
-0.196403,1.13842,-1.13436,0.79596,0.867144,-0.442711,-0.559567
-0.196402,1.13845,-1.13442,0.796002,0.86715,-0.442738,-0.559589
-0.196341,1.13844,-1.13443,0.795901,0.867176,-0.442711,-0.559594
-0.196326,1.13846,-1.13443,0.795911,0.867182,-0.442699,-0.559587
-0.196322,1.13845,-1.13444,0.795907,0.867176,-0.442699,-0.55959
-0.196323,1.13845,-1.13444,0.795907,0.867176,-0.442701,-0.559591
-0.196327,1.13846,-1.13445,0.795902,0.867185,-0.442696,-0.559612
-0.196285,1.13846,-1.13441,0.795933,0.867147,-0.442712,-0.5596
-0.19629,1.13845,-1.1344,0.79593,0.867144,-0.44273,-0.559602
-0.196279,1.13845,-1.1344,0.795964,0.867138,-0.442738,-0.559592
-0.196268,1.13846,-1.1344,0.795951,0.867122,-0.442746,-0.559569
-0.196259,1.13844,-1.13441,0.795962,0.867109,-0.442781,-0.559582
-0.196259,1.13844,-1.13441,0.795962,0.867109,-0.442781,-0.559582
-0.196261,1.13845,-1.1344,0.795955,0.867114,-0.442774,-0.55958
-0.196265,1.13845,-1.13441,0.795956,0.867113,-0.442768,-0.559572
-0.196276,1.13849,-1.13444,0.795911,0.86709,-0.442738,-0.559566
-0.196269,1.1385,-1.13444,0.795918,0.867093,-0.442749,-0.559566
-0.196266,1.1385,-1.13444,0.795913,0.867094,-0.442754,-0.55956
-0.196255,1.1385,-1.13445,0.795915,0.867097,-0.442763,-0.559562
-0.196254,1.1385,-1.13445,0.795914,0.867097,-0.442762,-0.559562
-0.196253,1.1385,-1.13445,0.795916,0.867099,-0.442763,-0.559563
-0.196246,1.1385,-1.13445,0.795919,0.867093,-0.442756,-0.559565
-0.196243,1.13849,-1.13445,0.795928,0.867087,-0.442764,-0.559564
-0.196243,1.13849,-1.13445,0.795924,0.867083,-0.442764,-0.559567
-0.196246,1.13849,-1.13444,0.795933,0.867088,-0.442763,-0.559564
-0.196246,1.13849,-1.13445,0.795936,0.867091,-0.442759,-0.559561
-0.196246,1.13848,-1.13445,0.795936,0.867092,-0.442759,-0.559561
-0.19625,1.13848,-1.13446,0.795937,0.867093,-0.442761,-0.559557
-0.19625,1.13849,-1.13445,0.795937,0.867091,-0.442761,-0.559559
-0.196249,1.13849,-1.13445,0.795936,0.86709,-0.442761,-0.559558
-0.196293,1.13853,-1.13445,0.795988,0.867097,-0.442742,-0.559618
-0.196257,1.13851,-1.13446,0.796004,0.867142,-0.442785,-0.559661
-0.196228,1.13851,-1.13445,0.795985,0.867094,-0.442784,-0.55964
-0.196264,1.13855,-1.13443,0.795991,0.867119,-0.442751,-0.559635
-0.196247,1.13853,-1.13447,0.79596,0.867114,-0.442773,-0.559627
-0.196245,1.13852,-1.13446,0.795968,0.86711,-0.442791,-0.559613
-0.196258,1.13853,-1.13447,0.795975,0.867089,-0.44279,-0.559588
-0.196267,1.13854,-1.13446,0.795971,0.867089,-0.442788,-0.559578
-0.196279,1.13853,-1.13447,0.795971,0.867092,-0.442794,-0.559592
-0.196292,1.13854,-1.13448,0.795978,0.867104,-0.442818,-0.559588
-0.196289,1.13853,-1.13447,0.795986,0.867106,-0.442828,-0.559587
-0.196289,1.13853,-1.13447,0.795988,0.867102,-0.442827,-0.559584
-0.196296,1.13852,-1.13446,0.79599,0.867111,-0.442823,-0.559593
-0.19633,1.13851,-1.13446,0.796009,0.867124,-0.442801,-0.559582
-0.196324,1.13853,-1.13444,0.795978,0.867131,-0.442835,-0.559609
-0.196321,1.13853,-1.13444,0.795976,0.867132,-0.442833,-0.559611
-0.19632,1.13853,-1.13444,0.795976,0.867133,-0.442834,-0.55961
-0.196321,1.13853,-1.13444,0.795979,0.867131,-0.442833,-0.559609
-0.196321,1.13853,-1.13444,0.795979,0.867131,-0.442834,-0.559608
-0.196321,1.13853,-1.13444,0.795979,0.867131,-0.442834,-0.559608
-0.19632,1.13853,-1.13444,0.79598,0.867131,-0.442834,-0.559608
-0.196321,1.13853,-1.13444,0.795979,0.867131,-0.442834,-0.559609
-0.19632,1.13853,-1.13444,0.795979,0.867131,-0.442833,-0.559608
-0.19632,1.13853,-1.13444,0.79598,0.867131,-0.442834,-0.559608
-0.196321,1.13853,-1.13444,0.79598,0.867131,-0.442833,-0.559609
-0.19631,1.13853,-1.13444,0.795977,0.867123,-0.442836,-0.559605
-0.19631,1.13853,-1.13444,0.795976,0.867126,-0.442838,-0.559605
-0.196308,1.13853,-1.13444,0.795976,0.867126,-0.442839,-0.559605
-0.196309,1.13852,-1.13444,0.795976,0.867127,-0.442839,-0.559607
-0.196307,1.13852,-1.13444,0.795977,0.867127,-0.442839,-0.559606
-0.196309,1.13853,-1.13444,0.795973,0.867129,-0.442836,-0.559603
-0.19631,1.13853,-1.13444,0.795973,0.867129,-0.442836,-0.559605
-0.19631,1.13854,-1.13444,0.795973,0.867128,-0.442835,-0.559606
-0.196308,1.13853,-1.13444,0.795971,0.867125,-0.442835,-0.559607
-0.196306,1.13853,-1.13445,0.795972,0.867124,-0.442837,-0.559606
-0.196305,1.13853,-1.13445,0.795971,0.867125,-0.442837,-0.559607
-0.196305,1.13853,-1.13445,0.795971,0.867125,-0.442837,-0.559607
-0.196306,1.13853,-1.13445,0.795972,0.867125,-0.442838,-0.559607
-0.196306,1.13853,-1.13445,0.795972,0.867125,-0.442838,-0.559607
-0.196305,1.13853,-1.13444,0.795975,0.867128,-0.442835,-0.559607
-0.196303,1.13853,-1.13444,0.795975,0.867126,-0.442833,-0.559606
-0.196303,1.13853,-1.13444,0.795975,0.867126,-0.442833,-0.559606
-0.196303,1.13853,-1.13444,0.795974,0.867126,-0.442833,-0.559606
-0.196302,1.13853,-1.13444,0.795974,0.867125,-0.442833,-0.559606
-0.196302,1.13853,-1.13444,0.795976,0.867127,-0.442831,-0.559605
-0.196303,1.13853,-1.13444,0.795975,0.867128,-0.442831,-0.559604
-0.196305,1.13852,-1.13444,0.795976,0.867127,-0.44283,-0.559602
-0.196305,1.13852,-1.13444,0.795976,0.867127,-0.44283,-0.559602
-0.196304,1.13852,-1.13444,0.795976,0.867127,-0.44283,-0.559602
-0.196304,1.13852,-1.13444,0.795976,0.867127,-0.44283,-0.559602
-0.196307,1.13852,-1.13444,0.795975,0.867128,-0.44283,-0.55961
-0.196305,1.13852,-1.13444,0.795974,0.867128,-0.44283,-0.559609
-0.196305,1.13852,-1.13444,0.795974,0.867128,-0.44283,-0.559609
-0.196307,1.13852,-1.13444,0.795972,0.867123,-0.442831,-0.559609
-0.196308,1.13852,-1.13444,0.795972,0.867122,-0.442832,-0.559609
-0.196302,1.13852,-1.13444,0.795978,0.86713,-0.442838,-0.559606
-0.196297,1.13852,-1.13444,0.79598,0.867128,-0.442837,-0.559605
-0.1963,1.13852,-1.13444,0.795981,0.867122,-0.442836,-0.559605
-0.196298,1.13852,-1.13444,0.795981,0.867122,-0.442836,-0.559606
-0.196298,1.13853,-1.13444,0.795982,0.86713,-0.442832,-0.559601
-0.196298,1.13853,-1.13444,0.795982,0.867131,-0.442832,-0.559602
-0.196298,1.13853,-1.13444,0.795982,0.86713,-0.442832,-0.559601
-0.196298,1.13853,-1.13444,0.795982,0.86713,-0.442832,-0.559601
-0.196298,1.13853,-1.13444,0.795983,0.867131,-0.442833,-0.559601
-0.196299,1.13853,-1.13444,0.795983,0.867131,-0.442833,-0.559601
-0.196299,1.13853,-1.13444,0.795983,0.867131,-0.442833,-0.559602
-0.196299,1.13853,-1.13444,0.795982,0.867131,-0.442833,-0.559601
-0.1963,1.13853,-1.13444,0.795983,0.867133,-0.442832,-0.559604
-0.196301,1.13853,-1.13445,0.795985,0.867132,-0.442832,-0.559603
-0.1963,1.13853,-1.13445,0.795986,0.867131,-0.442832,-0.559604
-0.196301,1.13853,-1.13445,0.795998,0.867133,-0.442839,-0.559605
-0.196301,1.13853,-1.13445,0.795998,0.867132,-0.442839,-0.559605
-0.196301,1.13853,-1.13445,0.795999,0.86713,-0.442836,-0.559606
-0.196298,1.13853,-1.13445,0.795999,0.867129,-0.442838,-0.559607
-0.196298,1.13853,-1.13445,0.795999,0.867129,-0.442838,-0.559607
-0.196298,1.13853,-1.13445,0.795998,0.867124,-0.442838,-0.559604
-0.196297,1.13853,-1.13445,0.795998,0.867123,-0.442838,-0.559606
-0.196305,1.13853,-1.13446,0.795995,0.867128,-0.442836,-0.559605
-0.196305,1.13853,-1.13445,0.795995,0.867129,-0.442834,-0.559605
-0.196307,1.13854,-1.13446,0.795986,0.867131,-0.442831,-0.559605
-0.196306,1.13854,-1.13446,0.795987,0.867131,-0.442831,-0.559605
-0.196299,1.13854,-1.13446,0.795993,0.867123,-0.442828,-0.559597
-0.196297,1.13853,-1.13445,0.796,0.867136,-0.442831,-0.559603
-0.196297,1.13853,-1.13445,0.795999,0.867135,-0.442829,-0.559602
-0.196297,1.13853,-1.13445,0.795997,0.867135,-0.44283,-0.559603
-0.196298,1.13853,-1.13445,0.795997,0.867136,-0.442831,-0.559604
-0.196297,1.13853,-1.13445,0.796003,0.867138,-0.442827,-0.559604
-0.196292,1.13852,-1.13446,0.796002,0.867136,-0.442828,-0.559605
-0.196291,1.13852,-1.13446,0.796001,0.867138,-0.442828,-0.559606
-0.19629,1.13852,-1.13446,0.796001,0.867138,-0.442827,-0.559606
-0.196294,1.13852,-1.13446,0.795999,0.867139,-0.442831,-0.559604
-0.196296,1.13852,-1.13446,0.795999,0.867138,-0.442831,-0.559602
-0.196297,1.13852,-1.13446,0.795998,0.867137,-0.442831,-0.559603
-0.196297,1.13852,-1.13446,0.795998,0.867138,-0.442831,-0.559603
-0.196296,1.13852,-1.13446,0.795999,0.867137,-0.442831,-0.559603
-0.196296,1.13852,-1.13446,0.795999,0.867137,-0.44283,-0.559603
-0.196296,1.13852,-1.13446,0.796,0.867137,-0.442831,-0.559602
-0.196296,1.13852,-1.13446,0.796,0.867137,-0.44283,-0.559601
