beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7
1.21553,1.80434,-0.219139,-0.0149047,0.120816,-0.181659,0.0732057
1.23019,1.8276,-0.244171,-0.00754136,0.119242,-0.188407,0.0774819
0.995916,1.80203,-0.328469,0.0182412,0.129261,-0.181346,0.0854144
1.04123,1.86555,-0.243759,0.0039778,0.138144,-0.188341,0.0710785
1.13657,1.80002,-0.187634,-0.00306739,0.107542,-0.180619,0.0747107
1.19921,1.8146,-0.116741,-0.00372895,0.0985135,-0.186652,0.0682861
1.09407,1.79497,-0.27563,0.00054372,0.118001,-0.178806,0.0851444
1.14554,1.83373,-0.170775,0.000513434,0.119186,-0.189557,0.0642805
1.21971,1.83629,-0.146581,-0.0170255,0.113631,-0.184749,0.0694103
1.34746,1.76764,-0.264201,-0.0581209,0.142675,-0.169616,0.0676824
1.41534,1.7501,-0.261965,-0.0413332,0.14116,-0.174234,0.0712487
0.996799,1.82876,-0.464411,0.000243048,0.15945,-0.180271,0.0900447
1.11761,1.82918,-0.264428,0.00890962,0.130181,-0.19014,0.0734667
1.26586,1.8096,-0.180329,-0.022099,0.116327,-0.184777,0.0672468
1.11463,1.87698,-0.211923,0.00219101,0.136414,-0.192909,0.0664358
1.44602,1.74731,-0.173965,-0.0636427,0.134995,-0.166928,0.0628524
1.24347,1.74476,-0.339293,-0.0401945,0.132609,-0.165683,0.0863759
1.72739,1.60697,-0.315128,-0.083294,0.139349,-0.155435,0.0780637
1.35919,1.7863,-0.0646439,-0.027144,0.0949194,-0.182842,0.0614319
1.22264,1.80857,-0.242385,-0.0262531,0.13869,-0.180501,0.067652
0.938496,1.82145,-0.332122,0.0366501,0.111005,-0.185664,0.0990938
1.43845,1.81419,-0.169498,-0.0570502,0.155737,-0.178465,0.0532135
1.33306,1.80055,-0.250671,-0.0427907,0.152749,-0.178086,0.0619017
1.45675,1.78144,-0.23952,-0.0611135,0.154467,-0.175651,0.0585456
1.52195,1.77153,-0.230015,-0.0715609,0.158652,-0.174655,0.0552752
